CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
f115957db20e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10547->51820/udp   wireguard_peer547
4850bceb0e5a   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10546->51820/udp   wireguard_peer546
346e45e106d8   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10545->51820/udp   wireguard_peer545
67e0d92af7d7   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10544->51820/udp   wireguard_peer544
7f0f49c8da8a   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10543->51820/udp   wireguard_peer543
4912417393a6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10542->51820/udp   wireguard_peer542
bec1d77c658e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10541->51820/udp   wireguard_peer541
116e7b347fb6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10540->51820/udp   wireguard_peer540
39ed1003fd67   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10539->51820/udp   wireguard_peer539
a8a206475aa2   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10538->51820/udp   wireguard_peer538
5977a15e79bc   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10537->51820/udp   wireguard_peer537
2bc125f715c4   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10536->51820/udp   wireguard_peer536
29f9e293b499   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10535->51820/udp   wireguard_peer535
2630113d263c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10534->51820/udp   wireguard_peer534
a0457dd77a39   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10533->51820/udp   wireguard_peer533
d5edfad3f943   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10532->51820/udp   wireguard_peer532
d97893f10b9d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 21 minutes   0.0.0.0:10531->51820/udp   wireguard_peer531
6faf5d5bf181   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10530->51820/udp   wireguard_peer530
56068405f771   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10529->51820/udp   wireguard_peer529
190d830971e5   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10528->51820/udp   wireguard_peer528
65993253702f   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10527->51820/udp   wireguard_peer527
5db94d26f497   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10526->51820/udp   wireguard_peer526
2e48370cfddb   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10525->51820/udp   wireguard_peer525
891ef3d07976   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10524->51820/udp   wireguard_peer524
680565e782ff   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10523->51820/udp   wireguard_peer523
438b38b4d794   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10522->51820/udp   wireguard_peer522
74ef046b2875   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10521->51820/udp   wireguard_peer521
5246c9abad37   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10520->51820/udp   wireguard_peer520
